Date,Description,Amount,TransactionCategory,PaymentMethod,TransactionType,Weekday,Month
2026-05-21,Isi bensin Pertalite motor,26387,Transportation,Tunai,Expenses,Thursday,2026-05
2026-05-22,Nasi Padang lauk ayam,26557,Food & Dining,QRIS,Expenses,Friday,2026-05
2026-05-22,Isi bensin Pertalite motor,12291,Transportation,QRIS,Expenses,Friday,2026-05
2026-05-23,Print laporan praktikum,44228,Education,QRIS,Expenses,Saturday,2026-05
2026-05-24,Jajan Mixue bareng teman,47119,Food & Dining,QRIS,Expenses,Sunday,2026-05
2026-05-25,Print laporan praktikum,19430,Education,Tunai,Expenses,Monday,2026-05
2026-05-25,Checkout barang di Tokopedia,15226,Shopping,QRIS,Expenses,Monday,2026-05
2026-05-26,Gojek ke stasiun,31851,Transportation,QRIS,Expenses,Tuesday,2026-05
2026-05-27,Bayar parkir mall/kampus,30018,Others,QRIS,Expenses,Wednesday,2026-05
2026-05-27,Beli cemilan & air mineral,19236,Groceries,QRIS,Expenses,Wednesday,2026-05
2026-05-28,Top up voucher game,28822,Entertainment,QRIS,Expenses,Thursday,2026-05
2026-05-29,Makan malam Warteg,40117,Food & Dining,QRIS,Expenses,Friday,2026-05
2026-05-30,Makan siang di kantin kampus,26078,Food & Dining,Tunai,Expenses,Saturday,2026-05
2026-05-31,Top up saldo e-wallet harian,41634,Bills & Utilities,QRIS,Expenses,Sunday,2026-05
2026-06-01,Uang Saku Bulanan dari Ortu,2000000,Allowance / Salary,Transfer Bank,Income,Monday,2026-06
2026-06-01,Beli Kopi Susu Kekinian,41428,Food & Dining,QRIS,Expenses,Monday,2026-06
2026-06-02,Top up saldo e-wallet harian,43151,Bills & Utilities,QRIS,Expenses,Tuesday,2026-06
2026-06-03,Sarapan bubur ayam komplek,15744,Food & Dining,QRIS,Expenses,Wednesday,2026-06
2026-06-03,Gojek ke stasiun,19853,Transportation,Tunai,Expenses,Wednesday,2026-06
2026-06-04,Top up e-money Commuter Line,11806,Transportation,QRIS,Expenses,Thursday,2026-06
2026-06-04,Gojek ke stasiun,29093,Transportation,QRIS,Expenses,Thursday,2026-06
2026-06-05,Kebutuhan harian Alfamart,38342,Groceries,QRIS,Expenses,Friday,2026-06
2026-06-06,Nasi Padang lauk ayam,36304,Food & Dining,QRIS,Expenses,Saturday,2026-06
2026-06-07,Checkout barang di Tokopedia,33111,Shopping,Tunai,Expenses,Sunday,2026-06
2026-06-08,Isi bensin Pertalite motor,14146,Transportation,QRIS,Expenses,Monday,2026-06
2026-06-08,Isi bensin Pertalite motor,20663,Transportation,QRIS,Expenses,Monday,2026-06
2026-06-09,Makan siang di kantin kampus,29541,Food & Dining,Tunai,Expenses,Tuesday,2026-06
2026-06-10,Makan siang di kantin kampus,27551,Food & Dining,Tunai,Expenses,Wednesday,2026-06
2026-06-11,Makan siang di kantin kampus,49280,Food & Dining,Tunai,Expenses,Thursday,2026-06
2026-06-12,Print laporan praktikum,33878,Education,Tunai,Expenses,Friday,2026-06
2026-06-13,Makan malam Warteg,18105,Food & Dining,Tunai,Expenses,Saturday,2026-06
2026-06-13,Kebutuhan harian Alfamart,24323,Groceries,QRIS,Expenses,Saturday,2026-06
2026-06-14,Makan siang di kantin kampus,26487,Food & Dining,QRIS,Expenses,Sunday,2026-06
2026-06-14,Gojek ke stasiun,29877,Transportation,QRIS,Expenses,Sunday,2026-06
2026-06-15,Iuran kas angkatan,37632,Education,QRIS,Expenses,Monday,2026-06
2026-06-16,Nasi Padang lauk ayam,36377,Food & Dining,QRIS,Expenses,Tuesday,2026-06
2026-06-17,Beli cemilan & air mineral,12696,Groceries,Tunai,Expenses,Wednesday,2026-06
2026-06-17,Top up saldo e-wallet harian,23751,Bills & Utilities,QRIS,Expenses,Wednesday,2026-06
2026-06-18,Beli cemilan & air mineral,16828,Groceries,QRIS,Expenses,Thursday,2026-06
2026-06-18,Sarapan bubur ayam komplek,22557,Food & Dining,QRIS,Expenses,Thursday,2026-06
2026-06-19,Print laporan praktikum,29057,Education,QRIS,Expenses,Friday,2026-06
2026-06-20,Top up e-money Commuter Line,43132,Transportation,Tunai,Expenses,Saturday,2026-06
2026-06-21,Beli cemilan & air mineral,17934,Groceries,QRIS,Expenses,Sunday,2026-06
2026-06-21,Makan malam Warteg,26995,Food & Dining,Tunai,Expenses,Sunday,2026-06
2026-06-22,Makan malam Warteg,30462,Food & Dining,Tunai,Expenses,Monday,2026-06
2026-06-22,Nasi Padang lauk ayam,25391,Food & Dining,QRIS,Expenses,Monday,2026-06
2026-06-23,Nasi Padang lauk ayam,32237,Food & Dining,QRIS,Expenses,Tuesday,2026-06
2026-06-23,Top up e-money Commuter Line,15960,Transportation,QRIS,Expenses,Tuesday,2026-06
2026-06-24,Makan siang di kantin kampus,34305,Food & Dining,Tunai,Expenses,Wednesday,2026-06
2026-06-25,Kebutuhan harian Alfamart,27569,Groceries,QRIS,Expenses,Thursday,2026-06
2026-06-26,Makan malam Warteg,13105,Food & Dining,QRIS,Expenses,Friday,2026-06
2026-06-26,Sarapan bubur ayam komplek,26735,Food & Dining,QRIS,Expenses,Friday,2026-06
2026-06-27,Beli Kopi Susu Kekinian,17045,Food & Dining,Tunai,Expenses,Saturday,2026-06
2026-06-27,Top up saldo e-wallet harian,19336,Bills & Utilities,QRIS,Expenses,Saturday,2026-06
2026-06-28,Beli kaos polos Shopee,37299,Shopping,QRIS,Expenses,Sunday,2026-06
2026-06-29,Kebutuhan harian Alfamart,28699,Groceries,QRIS,Expenses,Monday,2026-06
2026-06-30,Isi bensin Pertalite motor,10957,Transportation,QRIS,Expenses,Tuesday,2026-06
2026-06-30,Top up e-money Commuter Line,21258,Transportation,QRIS,Expenses,Tuesday,2026-06
